"","n_nodes"
"Graph406",296
"Graph407",56
"Graph408",45
"Graph409",242
"Graph410",500
"Graph411",191
"Graph412",61
"Graph413",19
"Graph414",9
"Graph415",59
"Graph416",275
"Graph417",94
"Graph418",317
"Graph419",257
"Graph420",72
"Graph421",306
"Graph422",56
"Graph423",28
"Graph424",196
"Graph425",145
"Graph426",186
"Graph427",32
"Graph428",237
"Graph429",140
"Graph430",546
"Graph431",434
"Graph432",429
"Graph433",40
"Graph434",675
"Graph435",188
"Graph436",9
"Graph437",158
"Graph438",25
"Graph439",147
"Graph440",54
"Graph441",254
"Graph442",32
"Graph443",144
"Graph444",62
"Graph445",276
"Graph446",84
"Graph447",145
"Graph448",220
"Graph449",200
"Graph450",201
"Graph451",63
"Graph452",222
"Graph453",114
"Graph454",155
"Graph455",124
"Graph456",44
"Graph457",20
"Graph458",148
"Graph459",9
"Graph460",311
"Graph461",52
"Graph462",12
"Graph463",83
"Graph464",92
"Graph465",112
"Graph466",414
"Graph467",18
"Graph468",257
"Graph469",148
"Graph470",261
"Graph471",174
"Graph472",70
"Graph473",138
"Graph474",19
"Graph475",18
"Graph476",64
"Graph477",108
"Graph478",315
"Graph479",101
"Graph480",21
"Graph481",169
"Graph482",26
"Graph483",229
"Graph484",596
"Graph485",140
"Graph486",667
"Graph487",224
"Graph488",126
"Graph489",27
"Graph490",431
"Graph491",23
"Graph492",13
"Graph493",331
"Graph494",116
"Graph495",34
"Graph496",373
"Graph497",364
"Graph498",75
"Graph499",53
"Graph500",27
